N,lambda1,lambda2,lambda3
71,6.212000992839694,15.768235026844376,28.319679013310406
72,6.212000992947878,15.76823502684627,28.319679013317362
73,6.21200099284324,15.768235026840845,28.319679013304896
74,6.212000992673057,15.768235026835374,28.319679013317362
75,6.212000992833781,15.76823502683435,28.319679013298806
76,6.2120009930513325,15.768235026827185,28.31967901330499
77,6.212000992673131,15.768235026828005,28.319679013317362
78,6.212000992370303,15.7682350268235,28.31967901330499
79,6.212000992729745,15.768235026824524,28.319679013318908
80,6.21200099256901,15.768235026815725,28.3196790133164
81,6.212000992501523,15.768235026817774,28.319679013317362
82,6.212000992802154,15.76823502682964,28.319679013309532
83,6.212000992749282,15.768235026817361,28.319679013317362
84,6.212000992771116,15.768235026823092,28.319679013312722
85,6.212000992760551,15.768235026814907,28.31967901331736
86,6.212000992819594,15.768235026809997,28.319679013319487
87,6.212000992672984,15.768235026807695,28.31967901331697
88,6.212000992597314,15.768235026808359,28.319679013310115
89,6.212000992672984,15.768235026803653,28.31967901330499
90,6.212000992748653,15.768235026808256,28.31967901331466
91,6.212000992602118,15.768235026795878,28.319679013311177
92,6.2120009926688455,15.76823502679608,28.319679013320453
93,6.212000992746294,15.768235026793421,28.319679013317163
94,6.212000992597314,15.768235026796901,28.319679013311948
95,6.212000992672984,15.76823502679281,28.31967901331514
96,6.212000992644941,15.768235026796901,28.319679013305183
97,6.212000992672979,15.768235026782985,28.319679013317554
98,6.212000992675339,15.768235026796901,28.319679013323643
99,6.212000992664558,15.768235026781346,28.319679013326642
100,6.21200099259735,15.768235026783751,28.319679013322
101,6.212000992672984,15.768235026790352,28.319679013311177
102,6.212000992616822,15.768235026778484,28.319679013317362
103,6.212000992564059,15.76823502677705,28.319679013312722
104,6.212000992672688,15.768235026783803,28.319679013323164
105,6.212000992560069,15.768235026787076,28.319679013329733
106,6.212000992607363,15.768235026774082,28.319679013317266
107,6.212000992590109,15.768235026778589,28.319679013320453
108,6.212000992554453,15.768235026770707,28.319679013320073
109,6.212000992597295,15.768235026779301,28.31967901331968
110,6.212000992597313,15.76823502677388,28.319679013322002
111,6.212000992578396,15.768235026775514,28.319679013317362
112,6.212000992597609,15.768235026777255,28.319679013311177
113,6.212000992597313,15.768235026771526,28.319679013326834
114,6.212000992568937,15.768235026773983,28.319679013317362
115,6.2120009925476545,15.76823502676508,28.319679013311177
116,6.212000992538158,15.768235026767227,28.319679013323352
117,6.212000992559192,15.768235026770299,28.31967901331658
118,6.212000992408138,15.768235026762316,28.31967901332809
119,6.212000992486173,15.768235026766103,28.319679013325093
120,6.212000992592565,15.768235026765742,28.319679013331278
121,6.212000992597313,15.768235026764259,28.319679013321615
122,6.212000992554748,15.768235026770707,28.319679013323547
123,6.212000992677713,15.768235026760884,28.319679013324038
124,6.212000992516914,15.768235026758427,28.319679013318137
125,6.212000992587891,15.768235026757813,28.319679013329345
126,6.21200099244715,15.768235026764158,28.319679013325093
127,6.212000992444773,15.768235026760117,28.319679013326642
128,6.212000992463709,15.768235026767432,28.319679013326837
129,6.212000992502726,15.768235026764158,28.31967901331736
130,6.212000992368532,15.768235026757608,28.319679013322776
131,6.212000992493268,15.768235026754128,28.319679013317753
132,6.212000992502726,15.768235026752341,28.31967901331079
133,6.2120009924848425,15.768235026758376,28.31967901332084
134,6.212000992549427,15.768235026758427,28.319679013315817
135,6.212000992559478,15.768235026753924,28.319679013328187
136,6.212000992370303,15.768235026758017,28.319679013328187
137,6.212000992597313,15.768235026748044,28.319679013329733
138,6.212000992370006,15.768235026760678,28.319679013335918
139,6.212000992561695,15.76823502675147,28.319679013322776
140,6.212000992512182,15.76823502674902,28.319679013328187
141,6.212000992587855,15.768235026755562,28.319679013320066
142,6.21200099245085,15.768235026755155,28.31967901332597
143,6.212000992454989,15.768235026754029,28.319679013326642
144,6.212000992445973,15.768235026747787,28.319679013321228
145,6.212000992483809,15.768235026747991,28.319679013329733
146,6.212000992482629,15.768235026747785,28.31967901331852
147,6.212000992467257,15.768235026746918,28.319679013320453
148,6.212000992436515,15.768235026747682,28.319679013326642
149,6.21200099248379,15.768235026744513,28.319679013327992
150,6.212000992428976,15.768235026742058,28.319679013323743
151,6.212000992396093,15.768235026748554,28.319679013326642
152,6.212000992332468,15.768235026746765,28.31967901332345
153,6.212000992445973,15.768235026750242,28.31967901333205
154,6.212000992370303,15.768235026740419,28.319679013327416
155,6.212000992521643,15.768235026747991,28.319679013323544
156,6.212000992492086,15.768235026746044,28.319679013332824
157,6.212000992403408,15.76823502674615,28.319679013332046
158,6.212000992294486,15.768235026742875,28.31967901332819
159,6.212000992417672,15.768235026744513,28.319679013329925
160,6.212000992332468,15.768235026748094,28.319679013322773
161,6.212000992524009,15.768235026737964,28.319679013317362
162,6.212000992483809,15.76823502674185,28.319679013326642
163,6.212000992410504,15.768235026744513,28.319679013323547
164,6.212000992408138,15.768235026744717,28.319679013317362
165,6.212000992410502,15.768235026741237,28.319679013326642
166,6.212000992522528,15.768235026737553,28.319679013325093
167,6.212000992417301,15.7682350267396,28.319679013332628
168,6.212000992446342,15.768235026749426,28.31967901332819
169,6.212000992370303,15.768235026747789,28.319679013331275
170,6.212000992447747,15.768235026742875,28.319679013328187
171,6.212000992430602,15.768235026733052,28.319679013328187
172,6.212000992332468,15.768235026736328,28.31967901332703
173,6.212000992476419,15.768235026741594,28.319679013323547
174,6.212000992436515,15.768235026744513,28.319679013335918
175,6.212000992444791,15.768235026741237,28.319679013327416
176,6.212000992370303,15.768235026740008,28.31967901333321
177,6.212000992412831,15.768235026736939,28.319679013325867
178,6.212000992407399,15.768235026734741,28.319679013318137
179,6.212000992432378,15.768235026736123,28.319679013332824
180,6.2120009924835875,15.76823502673878,28.319679013335918
181,6.212000992450702,15.768235026738886,28.31967901333399
182,6.212000992398383,15.7682350267396,28.319679013326642
183,6.2120009923740165,15.768235026738985,28.319679013322002
184,6.212000992486163,15.768235026733256,28.319679013329733
185,6.212000992385082,15.768235026737145,28.319679013329733
186,6.212000992370303,15.76823502673377,28.319679013328187
187,6.21200099240836,15.76823502673643,28.319679013326837
188,6.2120009924069555,15.768235026733052,28.319679013325093
189,6.212000992332468,15.768235026738989,28.319679013326642
190,6.212000992445973,15.768235026737964,28.31967901332297
191,6.212000992433005,15.768235026740417,28.319679013330216
192,6.2120009922948185,15.76823502673561,28.319679013330315
193,6.2120009924459545,15.768235026735098,28.319679013335918
194,6.21200099240703,15.768235026738374,28.31967901332645
195,6.212000992451903,15.768235026733256,28.31967901332316
196,6.212000992426538,15.76823502673469,28.319679013322776
197,6.212000992351386,15.768235026736328,28.319679013320453
198,6.212000992395133,15.768235026736328,28.31967901332674
199,6.2120009925213475,15.768235026733052,28.319679013329733
200,6.21200099247435,15.768235026729776,28.31967901333283
