N,lambda1,lambda2,lambda3
71,6.212000992861863,15.768235026844376,28.31967901330673
72,6.212000992875165,15.76823502684724,28.319679013312534
73,6.212000992831417,15.768235026844781,28.31967901330499
74,6.212000992521643,15.76823502683578,28.319679013307987
75,6.212000992748653,15.768235026835374,28.319679013304025
76,6.212000992845164,15.768235026834962,28.319679013311177
77,6.2120009927486155,15.768235026830052,28.319679013313014
78,6.212000992753678,15.768235026826009,28.31967901330499
79,6.212000992710818,15.768235026824318,28.319679013311756
80,6.212000992866852,15.76823502682381,28.31967901331427
81,6.212000992800972,15.768235026826774,28.319679013310406
82,6.212000992814865,15.768235026809997,28.31967901332306
83,6.212000992786487,15.768235026816544,28.319679013308082
84,6.21200099278826,15.768235026809382,28.319679013298707
85,6.2120009926352235,15.768235026814907,28.319679013306537
86,6.212000992819741,15.768235026811634,28.319679013314264
87,6.212000992668273,15.768235026807133,28.319679013311177
88,6.2120009926398785,15.768235026806723,28.319679013311468
89,6.212000992710818,15.76823502680304,28.31967901330499
90,6.212000992521681,15.768235026806313,28.31967901330963
91,6.212000992677639,15.768235026799054,28.319679013312722
92,6.212000992653918,15.768235026796082,28.31967901332316
93,6.212000992748654,15.768235026793626,28.319679013308473
94,6.212000992720351,15.768235026796901,28.319679013311948
95,6.21200099255948,15.768235026792807,28.319679013314463
96,6.212000992624509,15.768235026796901,28.31967901331678
97,6.21200099248174,15.768235026783906,28.319679013314264
98,6.212000992672984,15.768235026782369,28.31967901332432
99,6.212000992597333,15.768235026784007,28.31967901332432
100,6.212000992634853,15.768235026782984,28.319679013316204
101,6.212000992673575,15.768235026786872,28.319679013317938
102,6.212000992663562,15.76823502678053,28.319679013320453
103,6.212000992512175,15.76823502677705,28.319679013312722
104,6.212000992507455,15.768235026783803,28.319679013317263
105,6.212000992560069,15.768235026782984,28.31967901331263
106,6.212000992596131,15.76823502677797,28.319679013318133
107,6.21200099263478,15.768235026776026,28.31967901330499
108,6.2120009925642075,15.768235026770707,28.319679013325867
109,6.212000992595244,15.76823502678063,28.319679013320453
110,6.2120009927297355,15.76823502677388,28.319679013317263
111,6.212000992672984,15.768235026775514,28.319679013326255
112,6.212000992450703,15.768235026777255,28.319679013311166
113,6.212000992596723,15.768235026771526,28.319679013328187
114,6.212000992531694,15.768235026773983,28.31967901331891
115,6.212000992450702,15.768235026769686,28.319679013326258
116,6.212000992521643,15.768235026767227,28.319679013320645
117,6.212000992597313,15.768235026770299,28.319679013316588
118,6.2120009926233255,15.768235026760884,28.319679013327416
119,6.212000992524008,15.768235026769478,28.319679013327995
120,6.212000992219556,15.76823502676907,28.31967901331523
121,6.212000992407986,15.768235026764259,28.319679013322002
122,6.212000992592508,15.768235026770707,28.319679013316684
123,6.212000992554786,15.76823502676907,28.319679013329733
124,6.212000992408138,15.768235026757608,28.319679013318137
125,6.212000992464891,15.768235026757608,28.319679013335918
126,6.212000992445974,15.768235026762522,28.319679013323547
127,6.212000992523934,15.768235026761703,28.31967901333137
128,6.212000992445935,15.768235026761754,28.319679013320066
129,6.212000992447155,15.76823502676421,28.31967901331697
130,6.212000992218964,15.768235026757813,28.319679013323547
131,6.212000992493286,15.768235026754436,28.31967901331891
132,6.212000992597313,15.768235026759758,28.319679013327416
133,6.212000992529923,15.768235026758223,28.31967901332519
134,6.212000992487059,15.768235026760882,28.319679013318233
135,6.212000992483809,15.768235026753924,28.319679013311564
136,6.212000992370303,15.768235026757813,28.319679013325874
137,6.212000992520386,15.768235026749526,28.319679013320453
138,6.2120009924363675,15.768235026758427,28.319679013324702
139,6.212000992615049,15.76823502675106,28.319679013331278
140,6.212000992427573,15.768235026754233,28.31967901331466
141,6.212000992512184,15.76823502675597,28.31967901331697
142,6.212000992436515,15.768235026755153,28.319679013335147
143,6.2120009924363675,15.76823502674738,28.319679013323547
144,6.21200099237034,15.768235026744819,28.31967901333321
145,6.212000992339231,15.7682350267572,28.319679013331182
146,6.2120009925228254,15.76823502675106,28.319679013323935
147,6.212000992483809,15.768235026751526,28.319679013321036
148,6.212000992450408,15.768235026748606,28.319679013326642
149,6.212000992508784,15.768235026744513,28.319679013335918
150,6.212000992520451,15.768235026744513,28.319679013321615
151,6.212000992396314,15.768235026745947,28.319679013326642
152,6.212000992483813,15.768235026747787,28.31967901332316
153,6.212000992521661,15.768235026750242,28.319679013326258
154,6.212000992473167,15.768235026737555,28.319679013327224
155,6.212000992522233,15.768235026747991,28.319679013323547
156,6.2120009924838175,15.768235026750856,28.31967901333321
157,6.212000992403261,15.768235026745383,28.31967901332819
158,6.2120009923986785,15.768235026742978,28.319679013330123
159,6.212000992521643,15.768235026744513,28.31967901333012
160,6.2120009924731665,15.768235026751265,28.319679013325285
161,6.212000992480553,15.768235026738168,28.31967901331736
162,6.212000992408138,15.768235026742671,28.319679013323352
163,6.212000992370294,15.76823502674615,28.319679013328187
164,6.212000992408138,15.768235026742875,28.319679013317362
165,6.212000992445973,15.768235026741342,28.319679013323547
166,6.212000992483735,15.768235026737964,28.31967901332519
167,6.212000992294596,15.7682350267396,28.319679013327406
168,6.212000992516895,15.76823502674134,28.319679013323935
169,6.212000992399861,15.76823502674226,28.319679013322773
170,6.212000992351386,15.768235026742671,28.31967901332142
171,6.212000992464964,15.7682350267396,28.319679013323743
172,6.212000992332468,15.768235026736225,28.31967901332954
173,6.21200099238922,15.768235026741646,28.319679013329733
174,6.212000992408138,15.768235026744513,28.319679013316975
175,6.212000992413773,15.768235026741237,28.319679013326642
176,6.212000992379762,15.768235026731517,28.31967901332374
177,6.212000992424765,15.768235026742875,28.31967901332287
178,6.212000992441391,15.768235026735713,28.319679013328766
179,6.212000992441393,15.768235026738783,28.319679013325096
180,6.212000992377712,15.768235026741237,28.319679013317362
181,6.212000992427055,15.768235026735919,28.319679013326642
182,6.212000992364982,15.7682350267396,28.319679013332824
183,6.212000992294633,15.768235026736633,28.319679013323547
184,6.212000992220137,15.768235026733256,28.31967901331697
185,6.212000992518097,15.768235026736328,28.319679013335918
186,6.212000992358553,15.76823502673377,28.319679013327416
187,6.212000992332473,15.768235026730185,28.319679013326642
188,6.212000992464895,15.768235026731311,28.319679013323743
189,6.212000992486173,15.768235026738015,28.319679013324322
190,6.212000992367937,15.768235026737964,28.319679013323547
191,6.212000992379467,15.768235026731208,28.31967901332857
192,6.212000992351386,15.76823502673878,28.319679013323643
193,6.2120009923460655,15.768235026735098,28.319679013320453
194,6.212000992389811,15.768235026742875,28.319679013336113
195,6.2120009923805,15.768235026734793,28.319679013323547
196,6.212000992403428,15.768235026736736,28.319679013326546
197,6.212000992521642,15.768235026732233,28.319679013329733
198,6.212000992294632,15.768235026728139,28.319679013326642
199,6.212000992445973,15.768235026733052,28.31967901332239
200,6.212000992443608,15.768235026737964,28.319679013333023
