N,lambda1,lambda2,lambda3
72,6.21200099293901,15.768235026848878,28.319679013317362
73,6.212000992824333,15.768235026840896,28.31967901330499
74,6.212000992909746,15.76823502683619,28.319679013316588
75,6.212000992559471,15.76823502683619,28.319679013305183
76,6.212000992776955,15.76823502683046,28.319679013298806
77,6.212000992748653,15.768235026823092,28.319679013317362
78,6.212000992821959,15.7682350268235,28.31967901330499
79,6.212000992786043,15.768235026829437,28.319679013306434
80,6.212000992559478,15.76823502682381,28.319679013317554
81,6.212000992521643,15.768235026817774,28.31967901331427
82,6.212000992814865,15.768235026815724,28.31967901332306
83,6.212000992672984,15.768235026815725,28.319679013311177
84,6.2120009928430555,15.768235026815725,28.31967901330499
85,6.2120009925973125,15.768235026814907,28.319679013306537
86,6.212000992672984,15.768235026809997,28.31967901331968
87,6.2120009926777495,15.768235026806313,28.31967901330847
88,6.2120009925878925,15.768235026806723,28.319679013318222
89,6.212000992640174,15.768235026803653,28.319679013308082
90,6.212000992677713,15.768235026805085,28.31967901331427
91,6.212000992710818,15.768235026807542,28.319679013311177
92,6.212000992682443,15.768235026790403,28.31967901331582
93,6.212000992675052,15.768235026793421,28.319679013308082
94,6.21200099268126,15.768235026796901,28.319679013310022
95,6.212000992670619,15.76823502679281,28.31967901332374
96,6.212000992645126,15.768235026796901,28.31967901332645
97,6.212000992592584,15.768235026780527,28.319679013320453
98,6.212000992654086,15.768235026788869,28.319679013324222
99,6.212000992544127,15.768235026784007,28.319679013321615
100,6.2120009927486715,15.768235026784623,28.319679013311273
101,6.212000992985121,15.768235026786872,28.319679013311177
102,6.212000992786487,15.768235026782165,28.319679013317362
103,6.21200099267291,15.76823502677833,28.31967901331097
104,6.212000992512184,15.768235026783803,28.319679013317362
105,6.2120009925593305,15.768235026782984,28.319679013326258
106,6.212000992587929,15.76823502677797,28.319679013318137
107,6.212000992681223,15.768235026778688,28.319679013320453
108,6.212000992559478,15.7682350267748,28.31967901332548
109,6.212000992408138,15.76823502678063,28.319679013320453
110,6.212000992578414,15.76823502677388,28.319679013323547
111,6.212000992578396,15.768235026775514,28.319679013326255
112,6.212000992332468,15.768235026777255,28.319679013311177
113,6.212000992520461,15.768235026771526,28.319679013312726
114,6.212000992531102,15.768235026773983,28.319679013317355
115,6.212000992578395,15.768235026765796,28.319679013327033
116,6.212000992521643,15.768235026767227,28.319679013320062
117,6.212000992636925,15.768235026769275,28.319679013318524
118,6.212000992788253,15.768235026757607,28.319679013320453
119,6.212000992521643,15.768235026765797,28.319679013327995
